source,target
1437173122826838019,1437072222166732802
1437173120247476224,1436171597027504129
1437173108020895750,1437072803820232708
1437173107110842372,1437111677649051649
1437173096197283843,1437073241697361922
1437173091554058241,1437051101212123136
1437173090329444355,1437110038439546891
1437173087955456001,1437149643633217537
1437173085166202883,1437072803820232708
1437173080053338114,1436961984101105671
1437173073468399618,1437056439483355138
1437173069336956928,1437043515066888197
1437173062751989764,1437147104560959489
1437173061611053060,1436852522598207488
1437173059249651714,1436696031400431618
1437173048818290690,1436999101082652674
1437173045324652544,1437162400441061386
1437173035576877059,1437072803820232708
1437173001611587585,1437082388471844872
1437172985857773569,1437057096516780035
1437172978815578119,1437146081679364099
1437172972775780352,1236700131635990531
1437172956623421440,1435882482856038404
1437172952643035136,1437166577141624832
1437172950537547776,1437072803820232708
1437172946510942211,1437073241697361922
1437172945164677123,1426791453850750980
1437172944673787906,1437170171496570882
